song_id	song_name	display_artist	artist_id	spotify_id
18391	It s Gonna Be A Lovely Day	The S.O.U.L. S.Y.S.T.E.M.	277377	5A5Ej8R3QY9xb98dmVowmL
18393	7	Prince And The New Power Generation	351039	01IlpPIwATpQXfeS49JDSF
18408	Revolution (From "Malcolm X")	Arrested Development	279949	1fC7Ff8HOYuR2GMSgHZVwO
18418	Understand This Groove	Sound Factory	279987	null
18419	Pick It Up	Home Team	303576	13l61zi5OkNeHv57K1KtNi
18421	Love s Taken Over	Chante Moore	298935	null
18442	Love Is (From "Beverly Hills, 90210")	Vanessa Williams/Brian McKnight	null	4AaWOZzoXevjYkbq7AEQWS
18449	Speed	Alpha Team	278713	null
18453	I m So Into You	SWV	277393	1DkGOPjC2OXN7xcT31fjXN
18469	Knock-N-Boots	Wreckx-N-Effect	431533	0UxEiVVQuhje4Tnmw6Yijl
18484	Shoop Shoop (Never Stop Givin  You Love)	Michael Cooper	310741	null
18486	Give It To You	Martha Wash	309720	null
18487	What You Won t Do For Love	Go West	302962	2MXPfRHBOvllOdo5H0sVVY
18496	Love Me The Right Way	Rapination	361864	null
18497	Love Don t Love You	En Vogue	301747	7rcrDWcZYfo8swPHFbqEmR
18505	How I m Comin	LL Cool J	276751	6eeETlsa4gwbfFnO4Minlg
18506	The Morning Papers	Prince And The New Power Generation	351039	null
18522	You re The Love Of My Life/The Love I Lost	Sybil	281298	null
18525	Let s Go Through The Motions (From "Who s The Man?")	Jodeci	304778	null
18529	Sweet On U	Lo-Key?	null	null
18531	It s My Life	Dr. Alban	301263	6HdM7gzXVgcpepv276raog
18547	Give Him A Love He Can Feel	Tene Williams	374452	null
18551	Cry No More	II D Extreme	276447	null
18554	Can t Help Falling In Love (From "Sliver")	UB40	277578	7aR1QwbQa26sjDXiVMLik4
18563	Gold Diggin  Girls	MC Nas-D	276857	null
18564	Who s The Man? (From "Who s The Man")	House Of Pain	303640	null
18571	Something s Goin  On	U.N.V.	277570	null
18572	Baby I m Yours	Shai	278844	5jnf5Lv2TJX9uYHsFKfrEh
18578	A Bad Goodbye	Clint Black With Wynonna	null	6pNfSp9y3M5WZGvIFFXVYQ
18580	Girl U For Me/Lose Control	Silk	279311	0EcFzZUKTQysjIxMvAtemq
18587	I m Free	Jon Secada	305146	2UfAxAPFNHkpArkEhBbyd4
18588	Do Da What	1 Of The Girls	null	null
18590	Should ve Been A Cowboy	Toby Keith	430048	1Zocw1rD4cBv1rRRsFI0Pj
18591	It s On	Naughty By Nature	312066	null
18597	What s Up Doc? (Can We Rock)	Fu-Schnickens W/ Shaquille O Neal	null	null
18598	Teddy Bear	G-Wiz	276227	56FniIennySKdCMQarPAIU
18599	U Don t Hear Me Tho	Rodney O	367241	null
18604	I Like It	Jomanda	305121	52RANyomHjZMyuEZzNTHDO
18606	Very Special	Big Daddy Kane Feat. Spinderella, L. Williams	281637	null
18608	Step It Up	Stereo MC s	280538	68QlEZu3EtI5Bojo1mmwxE
18615	When I Fall In Love (From "Sleepless In Seattle")	Celine Dion And Clive Griffin	null	null
18618	It s For You (From "The Meteor Man")	Shanice	278912	null
18622	Happy	Legacy Of Sound Featuring Meja	306881	4qLDlzs3K81Jprd1D2Ib3W
18640	In My Nature	Nuttin  Nyce	312485	1pffZVnM5873zd8AzT6crr
18649	Gotta Get Mine	M.C. Breed	null	3tAhpfyJ8HK1r8uCV7x3Uw
18650	Better Than You	Lisa Keith	307492	null
18684	What s It To You	Clay Walker	299416	346GCw2msr77HA5I5NFsKS
18692	Runaway Love	En Vogue Featuring FMOB	301747	6le2UuJkKITJC0Ka4sQCmV
18698	Foreplay	RAab	null	null
18705	I m A Player	Too Short	430262	null
18716	Yolanda	Reality	364737	null
18745	I'm Real	Kris Kross	306091	05ubQfyYkjNn0yycGKLTDx
18746	Commitment Of The Heart	Clive Griffin	null	null
18747	All For Love	Bryan Adams/Rod Stewart/Sting	null	5h92ib6UGUe0BkUvNz8AtP
