"","V1","V2","V3"
"132","2004","why","2076"
"133","2004","truck","161"
"134","2004","happy","550"
"135","2004","sad","71"
"136","2005","love","8068"
"137","2005","burn","147"
"138","2005","baby","6754"
"139","2005","girl","6665"
"140","2005","boy","910"
"141","2005","why","1674"
"142","2005","truck","90"
"143","2005","happy","268"
"144","2005","sad","58"
"145","2006","love","5855"
"146","2006","burn","238"
"147","2006","baby","4902"
"148","2006","girl","4087"
"149","2006","boy","1234"
"150","2006","why","1861"
"151","2006","truck","100"
"152","2006","happy","199"
"153","2006","sad","335"
"154","2007","love","6069"
"155","2007","burn","118"
"156","2007","baby","4313"
"157","2007","girl","3823"
"158","2007","boy","1888"
"159","2007","why","1958"
"160","2007","truck","201"
"161","2007","happy","184"
"162","2007","sad","83"
"163","2008","love","8689"
"164","2008","burn","273"
"165","2008","baby","4709"
"166","2008","girl","4810"
"167","2008","boy","1116"
"168","2008","why","1656"
"169","2008","truck","185"
"170","2008","happy","213"
"171","2008","sad","231"
"172","2009","love","8410"
"173","2009","burn","342"
"174","2009","baby","4824"
"175","2009","girl","5846"
"176","2009","boy","1322"
"177","2009","why","1957"
"178","2009","truck","133"
"179","2009","happy","177"
"180","2009","sad","129"
"181","2010","love","8162"
"182","2010","burn","244"
"183","2010","baby","6716"
"184","2010","girl","4614"
"185","2010","boy","2003"
"186","2010","why","1290"
"187","2010","truck","257"
"188","2010","happy","225"
"189","2010","sad","114"
"190","2011","love","8424"
"191","2011","burn","195"
"192","2011","baby","7590"
"193","2011","girl","5675"
"194","2011","boy","1503"
"195","2011","why","1288"
"196","2011","truck","265"
"197","2011","happy","239"
"198","2011","sad","93"
"199","2012","love","6835"
"200","2012","burn","633"
"201","2012","baby","6110"
"202","2012","girl","3489"
"203","2012","boy","728"
"204","2012","why","1425"
"205","2012","truck","501"
"206","2012","happy","134"
"207","2012","sad","0"
"208","2013","love","6476"
"209","2013","burn","1496"
"210","2013","baby","5072"
"211","2013","girl","3472"
"212","2013","boy","834"
"213","2013","why","826"
"214","2013","truck","355"
"215","2013","happy","162"
"216","2013","sad","7"
"217","2014","love","925"
"218","2014","burn","1716"
"219","2014","baby","707"
"220","2014","girl","371"
"221","2014","boy","72"
"222","2014","why","88"
"223","2014","truck","3"
"224","2014","happy","33"
"225","2014","sad","0"
"226","2015","love","152"
"227","2015","burn","0"
"228","2015","baby","24"
"229","2015","girl","38"
"230","2015","boy","0"
"231","2015","why","38"
"232","2015","truck","0"
"233","2015","happy","3"
"234","2015","sad","0"
