"","song_id","song_name","artist","lyrics","num_apps","vocab","first_app"
"3631",22379,"Breakaway","Kelly Clarkson","Grew up in a small town
And when the rain would fall down
I'd just stare out my window
Dreamin' of what could be
And if I'd end up happy
I would pray

Trying hard to reach out
But, when I tried to speak out
Felt like no one could hear me
Wanted to belong here
But something felt so wrong here
So I'd pray
I could break away

I'll spread my wings and I'll learn how to fly
I'll do what it takes till I touch the sky
And I'll make a wish, take a chance, make a change
And break away
Out of the darkness and into the sun
But, I won't forget all the ones that I love
I'll take a risk, take a chance, make a change
And break away

Wanna feel the warm breeze
Sleep under a palm tree
Feel the rush of the ocean
Get onboard a fast train
Travel on a jetplane, far away
And break away

I'll spread my wings and I'll learn how to fly
I'll do what it takes till I touch the sky
And I'll make a wish, take a chance, make a change
And break away
Out of the darkness and into the sun
I won't forget all the ones that I love
I gotta take a risk, take a chance, make a change
And break away

Buildings with a hundred floors
Swinging round revolving doors
Maybe I don't know where they'll take me
But, gotta keep moving on, moving on
Fly away, break away

I'll spread my wings and I'll learn how to fly
Though it's not easy to tell you goodbye, gotta
Take a risk, take a chance, make a change
And break away
Out of the darkness and into the sun
But, I won't forget the place I come from
I gotta take a risk, take a chance, make a change
And break away",46,121,"2004-08-28"
"3709",22484,"Since U Been Gone","Kelly Clarkson","Here's the thing
We started out friends
It was cool, but it was all pretend
Yeah, yeah, since you been gone
You dedicated, you took the time
Wasn't long, till I called you mine
Yeah, yeah, since you been gone
And all you'd ever hear me say
Is how I pictured me with you
That's all you'd ever hear me say

But since you been gone
I can breathe for the first time
I'm so movin' on, yeah yeah
Thanks to you now I get what I want
Since you been gone

How can I put it, you put me on
I even fell for that stupid love song
Yeah, yeah, since you been gone
How come I'd never hear you say
I just wanna be with you
Guess you never felt that way

But since you been gone
I can breathe for the first time
I'm so movin' on, yeah yeah
Thanks to you now I get what I want
Since you been gone

You had your chance, you blew it
Out of sight, out of mind
Shut your mouth, I just can't take it
Again and again and again and again

Since you been gone (since you been gone)
I can breathe for the first time
I'm so movin' on, yeah yeah
Thanks to you (thanks to you)
Now I get, I get what I want
I can breathe for the first time
I'm so movin' on, yeah yeah
Thanks to you (thanks to you)
Now I get (I get)
You should know, that I get
I get what I want

Since you been gone",46,82,"2004-12-18"
"5708",25521,"Wanted","Hunter Hayes","You know I'd fall apart without you
I don't know how you do what you do
'cause everything that don't make sense about me
Makes sense when I'm with you
Like everything that's green, girl I need you
But it's more than one and one makes two
Put aside the math and the logic of it
You gotta know you want it too

'cause I wanna wrap you up
Wanna kiss your lips
I wanna make you feel wanted
And I wanna call you mine
Wanna hold your hand forever
And never let you forget it
Yeah, I wanna make you feel wanted

Anyone can tell you you're pretty (yeah)
And you get that all the time, I know you do
But your beauty's deeper than the makeup
And I wanna show you what I see tonight

When I wrap you up
When I kiss your lips
I wanna make you feel wanted
And I wanna call you mine
Wanna hold your hand forever
And never let you forget it
'cause baby I wanna make you feel wanted

As good as you make me feel
I wanna make you feel better
Better than your fairy tales
Better than your best dreams
You're more than everything I need
You're all I ever wanted
All I ever wanted
And I just wanna wrap you up
Wanna kiss your lips
I wanna make you feel wanted
And I wanna call you mine
Wanna hold your hand forever
Never let you forget it
Yeah, I wanna make you feel wanted
Yeah, baby I wanna make you feel -wanted'
Cause you'll always be wanted",46,88,"2012-05-12"
"1309",19015,"Another Night","Real McCoy","Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night I dream of love so true

Just another night, another vision of love
You feel joy, you feel pain, 'cause nothing will be the same
Just another night, it's all that it takes to understand
The difference between lovers and fakes
So baby, I talk, talk, I talk to you
In the night, in your dreams of love so true
I talk, talk, I talk to you
In the night, in your dreams of love so true

In the night, in my dreams, I'm in love with you
'Cause you talk to me like lovers do
I feel joy, I feel pain, 'cause it's still the same
When the night is gone I'll be alone
Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night I dream of love so true

Just another night, another dream, another vision of love
With me, I'm here to set you free
I am your lover, your brother, hey sister let me cover
Your body with my love, as with my love in just another
Vision of love that seems to be true
Oh we do all the things that only lovers do
Vision of love that seems to be true
Oh we do all the things that only lovers do

In the night, in my dreams, I'm in love with you
'Cause you talk to me like lovers do
I feel joy, I feel pain, 'cause it's still the same
When the night is gone I'll be alone
Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night I dream of love so true

I talk, talk, I talk to you
In the night, in your dreams of love so true
I talk, talk, I talk to you
In the night, in your dreams of love so true

In the night, in my dreams, I'm in love with you
'Cause you talk to me like lovers do
I feel joy, I feel pain, 'cause it's still the same
When the night is gone I'll be alone
Another night, another dream, but always you
It's like a vision of love that seems to be true
Another night, another dream, but always you
In the night I dream of love so true
{fade}",45,70,"1994-08-27"
"3030",21528,"Wherever You Will Go","The Calling","So lately, been wondering
Who will be there to take my place
When I'm gone, you'll need love
To light the shadows on your face
If a great wave shall fall
And fall upon us all
Then between the sand and stone
Could you make it on your own

If I could, then I would
I'll go wherever you will go
Way up high or down low
I'll go wherever you will go

And maybe, I'll find out
A way to make it back someday
To watch you, to guide you
Through the darkest of your days
If a great wave shall fall
And fall upon us all
Then I hope there's someone out there
Who can bring me back to you

If I could, then I would
I'll go wherever you will go
Way up high or down low
I'll go wherever you will go

Run away with my heart
Run away with my hope
Run away with my love

I know now, just quite how
My life and love might still go on
In your heart, in your mind
I'll stay with you for all of time

If I could, then I would
I'll go wherever you will go
Way up high or down low
I'll go wherever you will go

If I could turn back time
I'll go wherever you will go
If I could make you mine
I'll go wherever you will go
I'll go wherever you will go",45,90,"2001-11-10"
"3247",21835,"When I'm Gone","3 Doors Down","There's another world inside of me that you may never see
There's secrets in this life that I can't hide
Somewhere in this darkness there's a light that I can't find
Maybe it's too far away, or maybe I'm just blind
Maybe I'm just blind

So hold me when I'm here
Right me when I'm wrong
Hold me when I'm scared
And love me when I'm gone
Everything I am and everything in me
Wants to be the one,be the one,you wanted me to be
I'll never let you down, even if I could
I'd give up everything if only for your good

So hold me when I'm here
Right me when I'm wrong
You can hold me when I'm scared
But you won't always be there
So love me when I'm gone
Love me when I'm gone

When your education x-ray cannot see
under my skin
I won't tell you a damn thing that I could not tell my friends
Now roaming through this darkness I'm alive but I'm alone
Part of me is fighting this but part of me is gone

So hold me when I'm here
Right me when I'm wrong
Hold me when I'm scared
And love me when I'm gone
Everything I am and everything in me
Wants to be the one,be the one,you wanted me to be
I'll never let you down even if I could
I'd give up everything if only for your good

So hold me when I'm here
Right me when I'm wrong
You can hold me when I'm scared
You won't always be there
So love me when I'm gone

Maybe I'm just blind

So hold me when I'm here
Right me when I'm wrong
Hold me when I'm scared
And love me when I'm gone
Everything I am and everything in me
Wants to be the one,be the one,you wanted me to be
I'll never let you down even if I could
I'd give up everything if only for your good

So hold me when I'm here
Right me when I'm wrong
You can hold me when I'm scared
You won't always be there
So love me when I'm gone
Love me when I'm gone",45,88,"2002-11-23"
"4050",22981,"Chasing Cars","Snow Patrol","We'll do it all
Everything
On our own

We don't need
Anything
Or anyone

If I lay here
If I just lay here
Would you lie with me and just forget the world?

I don't quite know
How to say
How I feel

Those three words
Are said too much
They're not enough

If I lay here
If I just lay here
Would you lie with me and just forget the world?

Forget what we're told
Before we get too old
Show me a garden that's bursting into life

Let's waste time
Chasing cars
Around our heads

I need your grace
To remind me
To find my own

If I lay here
If I just lay here
Would you lie with me and just forget the world?

Forget what we're told
Before we get too old
Show me a garden that's bursting into life

All that I am
All that I ever was
Is here in your perfect eyes,
they're all I can see

I don't know where
Confused about how as well
Just know that these things will never change for us at all

If I lay here
If I just lay here
Would you lie with me and just forget the world?",45,91,"2006-06-03"
"5432",25023,"Give Me Everything","Pitbull Featuring Ne-Yo, AfroJack & Nayer","Tonight i will love love you tonight
Give me everything tonight
For all we know we might not get tomorrow
Lets do it tonight
I will love love you tonight
Give me everything tonight
For all we know we might not get tomorrow
Lets do it tonight

Lets do it tonight

Grab somebody sexy tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

Excuse me
But i might drink a little bit more than i should tonight
And i might take you home with me if i could tonight
And i think you should let me cause i look good tonight
And we might not get tomorrow

Tonight i will love love you tonight

Give me everything tonight
For all we know we might not get tomorrow
Lets do it tonight
I will love love you tonight
Give me everything tonight
For all we know we might not get tomorrow
Lets do it tonight

Lets do it tonight

Grab somebody sexy tell 'em hey
Give me everything tonight
Give me everything tonight
Give me everything tonight
Give me everything tonight

Excuse me
But i might drink a little bit more than i should tonight
And i might take you home with me if i could tonight
And i think you should let me cause i look good tonight
And we might not get tomorrow",45,45,"2011-04-16"
"5987",4734,"Unchained Melody","The Righteous Brothers","(Chorus)
Oh, my love, my darling
I've hungered for your touch
A long, lonely time
And time goes by so slowly
And time can do so much.
Are you still mine?
I need your love, I need your love.
God speed your love to me.

Lonely rivers flow to the sea, to the sea,
To the open arms of the sea.
Lonely rivers sigh, ""Wait for me, wait for me.
I'll be coming home, wait for me.""

(Chorus)",44,45,"1990-08-25"
"1197",18844,"Come To My Window","Melissa Etheridge","[CHORUS]

Come to my window
Crawl inside, wait by the light
of the moon
Come to my window
I'll be home soon

I would dial the numbers
Just to listen to your breath
I would stand inside my hell
And hold the hand of death
You don't know how far I'd go
To ease this precious ache
You don't know how much I'd give
Or how much I can take

Just to reach you
Just to reach you
Just to reach you

[CHORUS]

Keeping my eyes open
I cannot afford to sleep
Giving away promises
I know that I can't keep
Nothing fills the blackness
That has seeped into my chest
I need you in my blood
I am forsaking all the rest
Just to reach you
Just to reach you
Oh to reach you

[CHORUS]

I don't care what they think
I don't care what they say
What do they know about this
love anyway

[CHORUS]
",44,84,"1994-02-26"
"1491",19278,"As I Lay Me Down","Sophie B. Hawkins","It felt like spring time on this February morning
In a courtyard birds were singing your praise
I'm still recalling things you said to make me feel alright
I carried them with me today
Now

As I lay me down to sleep
This I pray
That you will hold me dear
Though I'm far away
I'll whisper your name into the sky
And I will wake up happy

I wonder why I feel so high
Though i am not above the sorrow
Heavy hearted
Till you call my name
And it sounds like church bells
Or the whistle of a train
On a summer evening
I'll run to meet you
Barefoot, barely breathing

As I lay me down to sleep
This I pray
That you will hold me dear
Though I'm far away
I'll whisper your name into the sky
And I will wake up happy

Oh, darlin'
As I lay me down to sleep
This I pray
That you will hold me dear
Though I'm far away
I'll whisper your name into the sky
And I will wake up happy

It's not too near for me
Like a flower I need the rain
Though it's not clear to me
Every season has it's change
And I will see you
When the sun comes out again

As I lay me down to sleep
This I pray
That you will hold me dear
Though I'm far away
I'll whisper your name into the sky
And I will wake up happy
(repeat twice)

I wonder why...

when the sun comes out again....
I will wake up happy....
This I pray....",44,105,"1995-06-03"
"2003",20042,"You Make Me Wanna...","Usher","This is what you do
This is what you do
This is what you do
This is what you do

You make me wanna leave the one I'm with
Start a new relationship with you
This is what you do
Think about a ring and all the things it come along with
You make me

You make me wanna leave the one I'm with
Start a new relationship with you
This is what you do
Think about a ring and all the things it come along with
You make me, you make me

Before anything began between us
You were like my best friend
The one I used to run and talk to
When me and my girl was having problems
You used to say it'll be OK
Suggest little nice things I should do
And when I go home at night and lay my head down
All I seemed to think about was you
And how

You make me wanna leave the one I'm with
Start a new relationship with you
This is what you do
Think about a ring and all the things it come along with
You make me

Now what's bad is you're the one that hooked us up
Knowing it should have been you
What's sad is that I love her but I'm falling for you
What should I do
Should I tell my baby bye-bye
Should I do exactly what I feel inside
Cos I, don't wanna go, don't need to stay
But I really need to get it together

You make me wanna leave the one I'm with
Start a new relationship with you
This is what you do
Think about a ring and all the things it come along with
You make me

At this point the situation's out of control
I never meant to hurt her
But I gotta let her go
And she may not understand it
While all of this is going on
I tried, I tried to fight it
But the feeling's just too strong
You make me, make me

You make me wanna
You make me wanna
You make me wanna
You make me wanna

You make me wanna
You make me wanna
You make me wanna
You makin' me

You make me wanna leave the one I'm with
Start a new relationship with you
This is what you do
Think about a ring and all the things it come along with
You make me",44,116,"1997-08-23"
"4917",24272,"Haven't Met You Yet","Michael Buble","I'm not surprised
Not everything lasts
I've broken my heart so many times,
I stopped keeping track.
Talk myself in
I talk myself out
I get all worked up
Then I let myself down.

I tried so very hard not to lose it
I came up with a million excuses
I thought, I thought of every possibility

And I know someday that it'll all turn out
You'll make me work
So we can work to work it out
And I promise you kid that I give
So much more than I get
I just haven't met you yet

I might have to wait
I'll never give up
I guess it's half timing
And the other half's luck
Wherever you are
Whenever it's right
You'll come out of nowhere and into my life

And I know that we can be so amazing
And baby your love is gonna change me
And now I can see every possibility

And somehow I know that it'll all turn out
And you'll make me work
So we can work to work it out
And I promise you kid I give so much more
Than I get
I just haven't met you yet

They say ""all's fair""
In love and war
But I won't need to fight it
We'll get it right and
We'll be united

And I know that we can be so amazing
And being in your life is gonna change me
And now I can see every single possibility

And someday I know it'll all turn out
And I'll work to work it out
Promise you kid, I'll give more than I get
Than I get
Than I get
Than I get
Oh you know it'll all turn out
And you'll make me work
So we can work to work it out
And I promise you kid
To give so much more than I get
Yeah I just haven't met you yet

I just haven't met you yet
Oh promise you kid
To give so much more than I get

I said love love love love love love love .....
I just haven't met you yet
Love love love .....
I just haven't met you yet",44,114,"2009-09-19"
"5628",25386,"I Won't Give Up","Jason Mraz","When I look into your eyes
It's like watching the night sky
Or a beautiful sunrise
There's so much they hold
And just like them old stars
I see that you've come so far
To be right where you are
How old is your soul?

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up

And when you're needing your space
To do some navigating
I'll be here patiently waiting
To see what you find

Cause even the stars, they burn
Some even fall to the earth
We got a lot to learn
God knows we're worth it
No I won't give up

I don't wanna be someone who walks away so easily
I'm here to stay and make the difference that I can make
Our differences they do a lot to teach us how to use
The tools and gifts we've got yeah we got a lot at stake
And in the end, you're still my friend
At least we didn't intend
For us to work we didn't break, we didn't burn
We had to learn how to bend without the world caving in
I had to learn what I've got, and what I'm not
And who I am

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up
I'm still looking up

I won't give up on us
God knows I'm tough, he knows
We got a lot to learn
God knows we're worth it

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up",44,123,"2012-01-21"
"5683",25471,"Too Close","Alex Clare","You know I'm not one to break promises
I don't wanna hurt you but I need to breathe
At the end of it all, you're still my best friend
But there's something inside that I need to release
Which way is right, which way is wrong
How do I say that I need to move on?
You know we're heading separate ways

And it feels like I am just too close to love you
There's nothing I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way

You've given me more that I can return
Yet there's oh so much that you deserve
There's nothing to say, nothing to do
I've nothing to give
I must leave without you
You know we're heading separate ways

And it feels like I am just too close to love you
There's nothing I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way

So I'll be on my way

And it feels like I am just too close to love you
There's nothing that I can really say
I can't lie no more, I can't hide no more
Got to be true to myself
And it feels like I am just too close to love you
So I'll be on my way

So I'll be on my way
So I'll be on my way",44,80,"2012-04-07"
"5924",25934,"Royals","Lorde","I've never seen a diamond in the flesh
I cut my teeth on wedding rings in the movies
And I'm not proud of my address
In the torn up town
No post code envy

But every song's like gold teeth, grey goose
Trippin' in the bathroom
Blood stains, ball gowns
Trashin' the hotel room
We don't care
We're driving cadillacs in our dreams

But everybody's like cristal, maybach
Diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affair

And we'll never be royals
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz

Let me be your ruler
You can call me queen bee
And baby I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy

My friends and I, we've cracked the code
We count our dollars on the train to the party
And everyone who knows us knows
That we're fine with this
We didn't come from money

But every song's like gold teeth grey goose
Trippin' in the bathroom
Blood stains, ball gowns
Trashin' the hotel room
We don't care
We're driving cadillacs in our dreams

But everybody's like cristal, maybach
Diamonds on your timepiece
Jet planes, islands, tigers on a gold leash
We don't care
We aren't caught up in your love affair

And we'll never be royals
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz

Let me be your ruler
You can call me queen bee
And baby I'll rule (I'll rule I'll rule I'll rule)
Let me live that fantasy

Ooh ooh oh
Ooh ooh oh
Ooh ooh oh
We're bigger than we ever dreamed
And I'm in love with being queen

Ooh ooh oh
Ooh ooh oh
Ooh ooh oh
Life is great without a care
We aren't caught up in your love affair

And we'll never be royals
It don't run in our blood
That kind of lux just ain't for us
We crave a different kind of buzz

Let me be your ruler
You can call me queen bee
And baby I'll rule (I'll rule, I'll rule, I'll rule)
Let me live that fantasy",44,125,"2013-07-20"
"1743",19643,"Change The World (From ""Phenomenon"")","Eric Clapton","If I could reach the stars, I'd pull one down for you
Shine it on my heart, so you could see the truth
That this love I have inside, is everything it seems
But for now I find, it's only in my dreams

That I can change the world
I would be the sunlight in your universe
You would think my love was really something good
Baby, if I could, change the world

If I could be king, even for a day
I'd take you as my queen, I'd have it no other way
And our love would rule, this kingdom we have made
Till then I'll be a fool, wishin' for the day

That I can change the world,
I would be the sunlight in your universe.
You would think my love was really something good,
Baby if I could change the world.
Baby if I could change the world.
I could change the world,
I would be the sunlight in your universe.
You would think my love was really something good,
Baby if I could change the world.
Baby if I could change the world.
Baby if I could change the world.",43,70,"1996-07-20"
"3327",21948,"Headstrong","Trapt","Circling your, circling your, circling your head
Contemplating everything you ever said
Now I see the truth I got a doubt 
A different motive in your eyes and now I'm out
See you later

I see your fantasy, you want to make it a reality paved in gold
See inside, inside of our heads, yeah
Well now that's over
I see your motives inside, decisions to hide

***Chorus***
Back off we'll take you on
Headstrong to take on anyone
I know that you are wrong
Headstrong we're Headstrong
Back off I'll take you on
Headstrong to take on anyone
I know that you are wrong
And this is not where you belong
***Chorus***

I can't give everything away 
I won't give everything away

Conclusions manifest
Your first impressions got to be your very best
I see you're full of s*** and that's alright
That's how you play I guess you get through every night
Well now that's over

I see your fantasy, you want to make it a reality paved in gold
See inside, inside of our heads, yeah
Well now that's over
I see your motives inside, decisions to hide

( repeat ***Chorus*** )

I can't give everything away
This is not where you belong
I won't give everything away

I know, I know all about
I know, I know all about
I know, I know all about
I know, I know all about your motives inside and your decision to hide

( repeat ***Chorus*** )

This is not where you belong
I can't give everything away
This is not where you belong
I won't give everything away
This is not where you belong",43,88,"2003-04-05"
"3782",22589,"Beverly Hills","Weezer","Where I come from isn't all that great
My automobile is a piece of crap
My fashion sense is a little whack
And my friends are just as screwy as me

I didn't go to boarding schools
Preppy girls never looked at me
Why should they?
I ain't nobody, got nothing in my pocket

Beverly Hills
That's where I want to be
Livin' in Beverly Hills
Beverly Hills
Rollin' like a celebrity
Livin' in Beverly Hills

Look at all those movie stars
They're all so beautiful and clean
When the housemaids scrub the floors
They get the spaces in between

I wanna live a life like that
I wanna be just like a king
Take my picture by the pool
'cause I'm the next big thing

Beverly Hills
That's where I want to be
Livin' in Beverly Hills
Beverly Hills
Rollin' like a celebrity
Livin' in Beverly Hills

The truth is I don't stand a chance
It's something that you're born into
And I just don't belong

No I don't
I'm just a no-class beat down fool
And I will always be that way
I might as well enjoy my life
And watch the stars play

Beverly Hills
That's where I want to be
Livin' in Beverly Hills
Beverly Hills
Rollin' like a celebrity
Livin' in Beverly Hills

Beverly Hills

Livin' in Beverly Hills",43,106,"2005-04-16"
"3785",22592,"We Belong Together","Mariah Carey","I didn't mean it when I said
I didn't love you so
I should have held on tight
I never should have let you go
I didn't know nothing,
I was stupid, I was foolish
I was lying to myself
I couldn't have fathomed 
I would ever be without your love
Never imagined I'd be sitting
Here beside myself
Guess I didn't know you 
You'd guess I didn't know me
But I thought I knew everything
I never felt

The feeling that I'm feeling 
Now that I don't hear your voice
Or have your touch and kiss your lips
Cause I don't have a choice
Oh what I wouldn't give 
To have you lying by my side
Right here cause baby

When you left I lost a part of me
It's still so hard to believe
Come back baby please cause
We belong together
Who else am I gonna lean on when times get rough
Who's gonna talk to me on the phone
Till the sun comes up
Who's gonna take your place 
There ain't nobody better
Oh baby baby 
We belong together

I can't sleep at night
When you are on my mind
Bobby Womack's on the radio
Singing to me ""If You Think You're Lonely Now""
Wait a minute this is too deep
I gotta change the station 
So I turn the dial tryin' to catch a break
And then I hear Babyface
""I Only Think Of You"" and it's breakin' my heart
I'm tryin' to keep it together but I'm falling apart

I'm feeling all out of my element
Throwing things, crying tryin'
To figure out where the hell I went wrong
The pain reflected in this song 
Ain't even half of what I'm feeling inside
I need you, need you back in my life baby

When you left I lost a part of me
It's still so hard to believe
Come back baby please cause
We belong together
Who else am I gonna lean on when times get rough
Who's gonna talk to me on the phone
Till the sun comes up
Who's gonna take your place 
There ain't nobody better
Oh baby baby 
We belong together baby

When you left I lost a part of me
It's still so hard to believe
Come back baby please cause
We belong together
Who am I gonna lean on 
When times get rough
Who's gonna talk to me 
Till the sun comes up
Who's gonna take your place 
There ain't nobody better
Oh baby baby
We belong together",43,161,"2005-04-16"
"4099",23051,"Face Down","The Red Jumpsuit Apparatus","Hey girl, you know you drive me crazy 
one look puts the rhythm in my hand. 
Still I'll never understand why you hang around 
I see what's going down. 

Cover up with make up in the mirror 
tell yourself it's never gonna happen again 
you cry alone and then he swears he loves you. 

Do you feel like a man 
when you push her around? 
Do you feel better now
as she falls to the ground? 
Well I'll tell you my friend,
one day this world's going to end 
as your lies crumble down,
a new life she has found. 

A pebble in the water makes a ripple effect 
Every action in this world will bear a consequence 
If you wade around forever, you will surely drown 
I see what's going down

I see the way you go
and say your right again, 
say your right again 
heed my lecture 

Do you feel like a man 
when you push her around? 
Do you feel better now
as she falls to the ground? 
Well I'll tell you my friend,
one day this world's going to end 
as your lies crumble down
a new life she has..

One day she will tell you
that she has had enough 
(it's coming round again) [2x]

Do you feel like a man, when you push her around? 
Do you feel better now as she falls to the ground? 
Well I'll tell you my friend,
one day this world's going to end 
as your lies crumble down,
a new life she has.. [x2]

Face down in the dirt 
she says, ""this doesn't hurt""
she says, ""I finally had enough"".. [2x]",43,109,"2006-08-05"
"5017",24405,"Breakeven","The Script","I'm still alive but I'm barely breathing
Just prayed to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no it don't break even

Her best days will be some of my worst
She finally met a man that's gonna put her first
While I'm wide awake she's no trouble sleeping 
'Cause when a heart breaks 
No it don't break even, even no

What am I supposed to do 
When the best part of me was always you
What am I suppose to say 
When I'm all choked up and you're Ok
I'm falling to pieces, yeah...
I'm falling to pieces

They say bad things happen for a reason
But no wise words gonna stop me bleeding
'Cause she moved on while I'm still grieving
And when a heart breaks no it don't break even, even no

What am I gonna do 
When the best part of me was always you
What am I supposed to say 
When I'm all choked up and you're ok
		
I'm falling to pieces, yeah...
I'm falling to pieces
I'm falling to pieces
(One still in love while the other one's leaving)
I'm falling to pieces
('Cause when a heart breaks no it don't break even)

You got his heart and my heart and none of the pain
You took your suitcase, I took the blame
Now I'm tryna make sense of what little remains
'Cause you left with no love, 
With no love to  my name

I'm still alive but I'm barely breathing
Just prayed to a God that I don't believe in
'Cause I got time while she got freedom
'Cause when a heart breaks no it don't break 
No it don't break, no it don't break even, no

What am I gonna do 
When the best part of me was always you
What am I suppose to say 
When I'm all choked up and you're Ok

I'm falling to pieces, yeah...
I'm falling to pieces

I'm falling to pieces
(One still in love while the other one's leaving)

I'm falling to pieces
('Cause  when a heart breaks no it don't break even)

Oh, it don't break even, no
Oh, it don't break even, no
Oh, it don't break even, no",43,107,"2009-12-19"
"5389",24970,"Set Fire To The Rain","Adele","I let it fall, my heart,
And as it fell, you rose to claim it,
It was dark and I was over,
Until you kissed my lips and you saved me,
My hands, they're strong, but my knees were far too weak,
To stand in your arms without falling to your feet,

But there's a side to you that I never knew, never knew,
All the things you'd say, they were never true, never true,
And the games you'd play, you would always win, always win,

But I set fire to the rain,
Watched it pour as I touched your face,
Well, it burned while I cried,
'Cause I heard it screaming out your name, your name,

When I lay with you I could stay there,
Close my eyes,
Feel you here forever,
You and me together, nothing is better,

'Cause there's a side to you that I never knew, never knew,
All the things you'd say, they were never true, never true,
And the games you'd play, you would always win, always win,

But I set fire to the rain,
Watched it pour as I touched your face,
Well, it burned while I cried,
'Cause I heard it screaming out your name, your name
I set fire to the rain,
And I threw us into the flames,
Well, It felt something died,
'Cause I knew that that was the last time, the last time,

Sometimes I wake up by the door,
That heart you caught, must be waiting for you,
Even now when we're already over,
I can't help myself from looking for ya,

I set fire to the rain,
Watched it pour as I touch your face,
Well, it burned while I cried,
'Cause I heard it screaming out your name, your name
I set fire to the rain,
And I threw us into the flames,
Well, I felt something died,
'Cause I knew that that was the last time, the last time, oh,
Oh, no,
Let it burn, oh,
Let it burn,
Let it burn.",43,118,"2011-03-12"
"5893",25866,"Safe And Sound","Capital Cities","I could lift you up
I could show you what you want to see
And take you where you want to be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
We're safe and sound
I could fill your cup
You know my river won't evaporate
This world we still appreciate
You could be my luck
Even in a hurricane of frowns
I know that we'll be safe and sound
(Safe and sound)
We're safe and sound
(Safe and sound)
We're safe and sound
(Hold your ground)
We're safe and sound
(Safe and sound)
I could show you love
In a tidal wave of mystery
You'll still be standing next to me
You could be my luck
Even if we're six feet underground
I know that we'll be safe and sound
We're safe and sound
Safe and sound
Safe and sound
Hold your ground
Safe and sound
I could lift you up
I could show you what you want to see
And take you where you want to be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
I could lift you up
I could show you what you want to see
And take you where you want to be
You could be my luck
Even if the sky is falling down
I know that we'll be safe and sound
We're safe and sound
We're safe and sound
We're safe and sound
We're safe and sound
(Safe and sound)
We're safe and sound
(Safe and sound)
We're safe and sound
(Hold your ground)
We're safe and sound
(Safe and sound)
We're safe and sound",43,58,"2013-05-18"
"1254",18933,"Wild Night","John Mellencamp With Me Shell Ndegeocello","As you brush your shoes and stand before your mirror
And you comb your hair and grab your coat and hat
And you walk the streets trying to remember, yeah
All those wild nights breeze through your mind

And everything looks so complete
When you're walking out on the streets
And the wind catches your feet
And sends you flying, crying
Oooh, oo-ooh wee
The wild night is calling

All the girls walk by dressed up for each other
And the boys do the boogie woogie on the corner of the street
And the people passing by just stare with the wild wonder
And the inside jukebox roars just like thunder

And everything looks so complete
When you're walking out on the street
And the wind catches your feet
And sends you flying, crying
Oooh, oo-ooh wee
The wild night is calling

The wi---ld night is calling
(The wi---ld night is calling)
Come on out and dance
(Come on out and dance)
Come on out and make romance
Come on out and dance
(Come on out and dance)
Come on out and make romance

And everything looks so complete
When you're walking out on the street
And the wind catches your feet
And sends you flying, crying
Oooh, oo-ooh wee
The wild night is calling
Oooh, oo-ooh wee
The wild night is calling",42,78,"1994-05-28"
